mes_any,mes,Any,Branca,codi,Importacions,Exportacions,png
03/2024,3,2024,"Agricultura, ramaderia, caça, silvicultura i pesca",ARP,460.1,174.2,https://raw.githubusercontent.com/psauleda/psauleda.github.io/main/visualitzacio_dades/practica/imatges/agricultura.png
02/2024,2,2024,"Agricultura, ramaderia, caça, silvicultura i pesca",ARP,474,149.2,https://raw.githubusercontent.com/psauleda/psauleda.github.io/main/visualitzacio_dades/practica/imatges/agricultura.png
01/2024,1,2024,"Agricultura, ramaderia, caça, silvicultura i pesca",ARP,532.7,139,https://raw.githubusercontent.com/psauleda/psauleda.github.io/main/visualitzacio_dades/practica/imatges/agricultura.png
12/2023,12,2023,"Agricultura, ramaderia, caça, silvicultura i pesca",ARP,430.4,159.3,https://raw.githubusercontent.com/psauleda/psauleda.github.io/main/visualitzacio_dades/practica/imatges/agricultura.png
11/2023,11,2023,"Agricultura, ramaderia, caça, silvicultura i pesca",ARP,481.7,170.7,https://raw.githubusercontent.com/psauleda/psauleda.github.io/main/visualitzacio_dades/practica/imatges/agricultura.png
10/2023,10,2023,"Agricultura, ramaderia, caça, silvicultura i pesca",ARP,562.3,180.6,https://raw.githubusercontent.com/psauleda/psauleda.github.io/main/visualitzacio_dades/practica/imatges/agricultura.png
09/2023,9,2023,"Agricultura, ramaderia, caça, silvicultura i pesca",ARP,459,216.6,https://raw.githubusercontent.com/psauleda/psauleda.github.io/main/visualitzacio_dades/practica/imatges/agricultura.png
08/2023,8,2023,"Agricultura, ramaderia, caça, silvicultura i pesca",ARP,536.7,208.5,https://raw.githubusercontent.com/psauleda/psauleda.github.io/main/visualitzacio_dades/practica/imatges/agricultura.png
07/2023,7,2023,"Agricultura, ramaderia, caça, silvicultura i pesca",ARP,483.3,195.9,https://raw.githubusercontent.com/psauleda/psauleda.github.io/main/visualitzacio_dades/practica/imatges/agricultura.png
06/2023,6,2023,"Agricultura, ramaderia, caça, silvicultura i pesca",ARP,527.1,214.9,https://raw.githubusercontent.com/psauleda/psauleda.github.io/main/visualitzacio_dades/practica/imatges/agricultura.png
