Any,Tipus,Exportacions,Importacions,Saldo,Taxa.de.cobertura,png
2023,Transport marítim,27612.1,41527.2,-13915.1,66.5,https://raw.githubusercontent.com/psauleda/psauleda.github.io/main/visualitzacio_dades/practica/imatges/maritim.png
2023,Transport per ferrocarril,271.2,679.6,-408.4,39.9,https://raw.githubusercontent.com/psauleda/psauleda.github.io/main/visualitzacio_dades/practica/imatges/tren.png
2023,Transport per carretera,64740.9,63483.6,1257.3,102,https://raw.githubusercontent.com/psauleda/psauleda.github.io/main/visualitzacio_dades/practica/imatges/carretera.png
2023,Transport aeri,7991.3,4455,3536.3,179.4,https://raw.githubusercontent.com/psauleda/psauleda.github.io/main/visualitzacio_dades/practica/imatges/aeri.png
2022,Transport marítim,27463.6,43219.2,-15755.5,63.5,https://raw.githubusercontent.com/psauleda/psauleda.github.io/main/visualitzacio_dades/practica/imatges/maritim.png
2022,Transport per ferrocarril,354.2,601.4,-247.2,58.9,https://raw.githubusercontent.com/psauleda/psauleda.github.io/main/visualitzacio_dades/practica/imatges/tren.png
2022,Transport per carretera,60139.6,63723.5,-3583.9,94.4,https://raw.githubusercontent.com/psauleda/psauleda.github.io/main/visualitzacio_dades/practica/imatges/carretera.png
2022,Transport aeri,6285.7,4613.8,1671.9,136.2,https://raw.githubusercontent.com/psauleda/psauleda.github.io/main/visualitzacio_dades/practica/imatges/aeri.png
2021,Transport marítim,23506.5,31784.1,-8277.6,74,https://raw.githubusercontent.com/psauleda/psauleda.github.io/main/visualitzacio_dades/practica/imatges/maritim.png
2021,Transport per ferrocarril,285.8,443.6,-157.8,64.4,https://raw.githubusercontent.com/psauleda/psauleda.github.io/main/visualitzacio_dades/practica/imatges/tren.png
2021,Transport per carretera,51520.8,54549.4,-3028.6,94.4,https://raw.githubusercontent.com/psauleda/psauleda.github.io/main/visualitzacio_dades/practica/imatges/carretera.png
2021,Transport aeri,5091.5,4079.3,1012.2,124.8,https://raw.githubusercontent.com/psauleda/psauleda.github.io/main/visualitzacio_dades/practica/imatges/aeri.png
2020,Transport marítim,18473.3,23665.4,-5192.1,78.1,https://raw.githubusercontent.com/psauleda/psauleda.github.io/main/visualitzacio_dades/practica/imatges/maritim.png
2020,Transport per ferrocarril,186.7,303.9,-117.2,61.4,https://raw.githubusercontent.com/psauleda/psauleda.github.io/main/visualitzacio_dades/practica/imatges/tren.png
2020,Transport per carretera,43340.6,47987.2,-4646.5,90.3,https://raw.githubusercontent.com/psauleda/psauleda.github.io/main/visualitzacio_dades/practica/imatges/carretera.png
2020,Transport aeri,4467.1,3789.8,677.2,117.9,https://raw.githubusercontent.com/psauleda/psauleda.github.io/main/visualitzacio_dades/practica/imatges/aeri.png
2019,Transport marítim,21622.2,31929.9,-10307.7,67.7,https://raw.githubusercontent.com/psauleda/psauleda.github.io/main/visualitzacio_dades/practica/imatges/maritim.png
2019,Transport per ferrocarril,244.2,404,-159.8,60.4,https://raw.githubusercontent.com/psauleda/psauleda.github.io/main/visualitzacio_dades/practica/imatges/tren.png
2019,Transport per carretera,46599,56062.3,-9463.3,83.1,https://raw.githubusercontent.com/psauleda/psauleda.github.io/main/visualitzacio_dades/practica/imatges/carretera.png
2019,Transport aeri,5286.2,3948.3,1337.8,133.9,https://raw.githubusercontent.com/psauleda/psauleda.github.io/main/visualitzacio_dades/practica/imatges/aeri.png
2018,Transport marítim,21636.9,31133.2,-9496.3,69.5,https://raw.githubusercontent.com/psauleda/psauleda.github.io/main/visualitzacio_dades/practica/imatges/maritim.png
2018,Transport per ferrocarril,276.6,438.5,-161.9,63.1,https://raw.githubusercontent.com/psauleda/psauleda.github.io/main/visualitzacio_dades/practica/imatges/tren.png
2018,Transport per carretera,44420.5,54966.9,-10546.4,80.8,https://raw.githubusercontent.com/psauleda/psauleda.github.io/main/visualitzacio_dades/practica/imatges/carretera.png
2018,Transport aeri,4633.1,3640.6,992.5,127.3,https://raw.githubusercontent.com/psauleda/psauleda.github.io/main/visualitzacio_dades/practica/imatges/aeri.png
2017,Transport marítim,22536.1,28651.8,-6115.8,78.7,https://raw.githubusercontent.com/psauleda/psauleda.github.io/main/visualitzacio_dades/practica/imatges/maritim.png
2017,Transport per ferrocarril,154.1,420.8,-266.7,36.6,https://raw.githubusercontent.com/psauleda/psauleda.github.io/main/visualitzacio_dades/practica/imatges/tren.png
2017,Transport per carretera,42322.2,51089.9,-8767.7,82.8,https://raw.githubusercontent.com/psauleda/psauleda.github.io/main/visualitzacio_dades/practica/imatges/carretera.png
2017,Transport aeri,4217.7,3255.5,962.1,129.6,https://raw.githubusercontent.com/psauleda/psauleda.github.io/main/visualitzacio_dades/practica/imatges/aeri.png
2016,Transport marítim,20365.1,23973.5,-3608.3,84.9,https://raw.githubusercontent.com/psauleda/psauleda.github.io/main/visualitzacio_dades/practica/imatges/maritim.png
2016,Transport per ferrocarril,266.7,476.4,-209.8,56,https://raw.githubusercontent.com/psauleda/psauleda.github.io/main/visualitzacio_dades/practica/imatges/tren.png
2016,Transport per carretera,40248.3,48611.8,-8363.5,82.8,https://raw.githubusercontent.com/psauleda/psauleda.github.io/main/visualitzacio_dades/practica/imatges/carretera.png
2016,Transport aeri,3989.8,3211.6,778.2,124.2,https://raw.githubusercontent.com/psauleda/psauleda.github.io/main/visualitzacio_dades/practica/imatges/aeri.png
2015,Transport marítim,18664.3,24937.1,-6272.8,74.8,https://raw.githubusercontent.com/psauleda/psauleda.github.io/main/visualitzacio_dades/practica/imatges/maritim.png
2015,Transport per ferrocarril,554.3,298.5,255.7,185.7,https://raw.githubusercontent.com/psauleda/psauleda.github.io/main/visualitzacio_dades/practica/imatges/tren.png
2015,Transport per carretera,40316.8,46915,-6598.2,85.9,https://raw.githubusercontent.com/psauleda/psauleda.github.io/main/visualitzacio_dades/practica/imatges/carretera.png
2015,Transport aeri,3988.1,3020.7,967.4,132,https://raw.githubusercontent.com/psauleda/psauleda.github.io/main/visualitzacio_dades/practica/imatges/aeri.png
2014,Transport marítim,17488.3,25425.5,-7937.2,68.8,https://raw.githubusercontent.com/psauleda/psauleda.github.io/main/visualitzacio_dades/practica/imatges/maritim.png
2014,Transport per ferrocarril,598.5,297.8,300.7,201,https://raw.githubusercontent.com/psauleda/psauleda.github.io/main/visualitzacio_dades/practica/imatges/tren.png
2014,Transport per carretera,38120.9,42936.8,-4815.9,88.8,https://raw.githubusercontent.com/psauleda/psauleda.github.io/main/visualitzacio_dades/practica/imatges/carretera.png
