mes_any,mes,any,be,codi_be,sub_be,codi_sub,export,import
02/2024,2,2024,Béns de consum,BCO,"Aliments, begudes i tabac",ABT,922.5,547
01/2024,1,2024,Béns de consum,BCO,"Aliments, begudes i tabac",ABT,874.7,526.6
12/2023,12,2023,Béns de consum,BCO,"Aliments, begudes i tabac",ABT,887.9,517.9
11/2023,11,2023,Béns de consum,BCO,"Aliments, begudes i tabac",ABT,981.1,566.1
10/2023,10,2023,Béns de consum,BCO,"Aliments, begudes i tabac",ABT,1028.9,601.1
09/2023,9,2023,Béns de consum,BCO,"Aliments, begudes i tabac",ABT,1024.7,552.5
08/2023,8,2023,Béns de consum,BCO,"Aliments, begudes i tabac",ABT,988.8,548.5
07/2023,7,2023,Béns de consum,BCO,"Aliments, begudes i tabac",ABT,998.7,575.8
06/2023,6,2023,Béns de consum,BCO,"Aliments, begudes i tabac",ABT,1050.4,599.1
05/2023,5,2023,Béns de consum,BCO,"Aliments, begudes i tabac",ABT,1005.6,623.6
04/2023,4,2023,Béns de consum,BCO,"Aliments, begudes i tabac",ABT,860.6,533.3
03/2023,3,2023,Béns de consum,BCO,"Aliments, begudes i tabac",ABT,1047.5,630.1
02/2023,2,2023,Béns de consum,BCO,"Aliments, begudes i tabac",ABT,892.4,507.1
01/2023,1,2023,Béns de consum,BCO,"Aliments, begudes i tabac",ABT,841.1,490.5
12/2022,12,2022,Béns de consum,BCO,"Aliments, begudes i tabac",ABT,926.7,529.8
11/2022,11,2022,Béns de consum,BCO,"Aliments, begudes i tabac",ABT,1079.9,561.3
10/2022,10,2022,Béns de consum,BCO,"Aliments, begudes i tabac",ABT,937.9,546.2
09/2022,9,2022,Béns de consum,BCO,"Aliments, begudes i tabac",ABT,992.7,574.6
08/2022,8,2022,Béns de consum,BCO,"Aliments, begudes i tabac",ABT,974.1,548.7
07/2022,7,2022,Béns de consum,BCO,"Aliments, begudes i tabac",ABT,931.9,529
06/2022,6,2022,Béns de consum,BCO,"Aliments, begudes i tabac",ABT,959.6,522.6
05/2022,5,2022,Béns de consum,BCO,"Aliments, begudes i tabac",ABT,965.8,553.5
04/2022,4,2022,Béns de consum,BCO,"Aliments, begudes i tabac",ABT,856.1,463.4
