Trimestre_i_any,trimestre,any,nivell,codi_nivell,sub_nivell,codi_subnivell,export,import
T4/2023,T4,2023,Nivell tecnològic alt,NALT,Productes farmacèutics,PF,2074.9,2038.9
T3/2023,T3,2023,Nivell tecnològic alt,NALT,Productes farmacèutics,PF,1976.5,1782.4
T2/2023,T2,2023,Nivell tecnològic alt,NALT,Productes farmacèutics,PF,2276.1,2106.6
T1/2023,T1,2023,Nivell tecnològic alt,NALT,Productes farmacèutics,PF,2629.4,2362.9
T4/2022,T4,2022,Nivell tecnològic alt,NALT,Productes farmacèutics,PF,2252.3,2085.1
T3/2022,T3,2022,Nivell tecnològic alt,NALT,Productes farmacèutics,PF,1662.8,1843.1
T2/2022,T2,2022,Nivell tecnològic alt,NALT,Productes farmacèutics,PF,2341.4,2214.8
T1/2022,T1,2022,Nivell tecnològic alt,NALT,Productes farmacèutics,PF,2150.5,2092
T4/2021,T4,2021,Nivell tecnològic alt,NALT,Productes farmacèutics,PF,1979.8,2021
T3/2021,T3,2021,Nivell tecnològic alt,NALT,Productes farmacèutics,PF,1680.4,1603.8
T2/2021,T2,2021,Nivell tecnològic alt,NALT,Productes farmacèutics,PF,1826.9,1737.3
T1/2021,T1,2021,Nivell tecnològic alt,NALT,Productes farmacèutics,PF,1795.4,1728.7
T4/2020,T4,2020,Nivell tecnològic alt,NALT,Productes farmacèutics,PF,1594.7,1570.1
T3/2020,T3,2020,Nivell tecnològic alt,NALT,Productes farmacèutics,PF,1573.6,1467.3
T2/2020,T2,2020,Nivell tecnològic alt,NALT,Productes farmacèutics,PF,1859.1,1700
T1/2020,T1,2020,Nivell tecnològic alt,NALT,Productes farmacèutics,PF,1797.9,1657.1
T4/2019,T4,2019,Nivell tecnològic alt,NALT,Productes farmacèutics,PF,1706.7,1519.8
T3/2019,T3,2019,Nivell tecnològic alt,NALT,Productes farmacèutics,PF,1590.6,1546.9
T2/2019,T2,2019,Nivell tecnològic alt,NALT,Productes farmacèutics,PF,1656,1640.7
T1/2019,T1,2019,Nivell tecnològic alt,NALT,Productes farmacèutics,PF,1382.5,1587.6
T4/2018,T4,2018,Nivell tecnològic alt,NALT,Productes farmacèutics,PF,1304.5,1280.6
T3/2018,T3,2018,Nivell tecnològic alt,NALT,Productes farmacèutics,PF,1164.7,1175
T2/2018,T2,2018,Nivell tecnològic alt,NALT,Productes farmacèutics,PF,1376.2,1206.9
T1/2018,T1,2018,Nivell tecnològic alt,NALT,Productes farmacèutics,PF,1290.3,1486.4
T4/2017,T4,2017,Nivell tecnològic alt,NALT,Productes farmacèutics,PF,1220.2,1106.3
T3/2017,T3,2017,Nivell tecnològic alt,NALT,Productes farmacèutics,PF,1139.7,1010.1
T2/2017,T2,2017,Nivell tecnològic alt,NALT,Productes farmacèutics,PF,1330.4,1091.3
T1/2017,T1,2017,Nivell tecnològic alt,NALT,Productes farmacèutics,PF,1360.1,1175
T4/2016,T4,2016,Nivell tecnològic alt,NALT,Productes farmacèutics,PF,1187.8,1084.1
T3/2016,T3,2016,Nivell tecnològic alt,NALT,Productes farmacèutics,PF,1185.7,1004.3
T2/2016,T2,2016,Nivell tecnològic alt,NALT,Productes farmacèutics,PF,1329.1,1041.2
T1/2016,T1,2016,Nivell tecnològic alt,NALT,Productes farmacèutics,PF,1123.1,1068.9
T4/2015,T4,2015,Nivell tecnològic alt,NALT,Productes farmacèutics,PF,1155.5,993.9
T3/2015,T3,2015,Nivell tecnològic alt,NALT,Productes farmacèutics,PF,1078.9,994.4
T2/2015,T2,2015,Nivell tecnològic alt,NALT,Productes farmacèutics,PF,1160.8,1032.3
T1/2015,T1,2015,Nivell tecnològic alt,NALT,Productes farmacèutics,PF,1125.8,1092.6
T4/2014,T4,2014,Nivell tecnològic alt,NALT,Productes farmacèutics,PF,1144.7,1013.6
T3/2014,T3,2014,Nivell tecnològic alt,NALT,Productes farmacèutics,PF,979.3,969.2
T2/2014,T2,2014,Nivell tecnològic alt,NALT,Productes farmacèutics,PF,1005.5,922.9
T1/2014,T1,2014,Nivell tecnològic alt,NALT,Productes farmacèutics,PF,1073.8,920.4
T4/2013,T4,2013,Nivell tecnològic alt,NALT,Productes farmacèutics,PF,1006.5,850.9
T3/2013,T3,2013,Nivell tecnològic alt,NALT,Productes farmacèutics,PF,906.6,791.4
T2/2013,T2,2013,Nivell tecnològic alt,NALT,Productes farmacèutics,PF,1029.1,888.6
T1/2013,T1,2013,Nivell tecnològic alt,NALT,Productes farmacèutics,PF,1038.2,832.6
T4/2012,T4,2012,Nivell tecnològic alt,NALT,Productes farmacèutics,PF,964.9,819.2
T3/2012,T3,2012,Nivell tecnològic alt,NALT,Productes farmacèutics,PF,892.1,786.3
T2/2012,T2,2012,Nivell tecnològic alt,NALT,Productes farmacèutics,PF,973.8,906.3
T1/2012,T1,2012,Nivell tecnològic alt,NALT,Productes farmacèutics,PF,995,886.5
T4/2011,T4,2011,Nivell tecnològic alt,NALT,Productes farmacèutics,PF,846.7,860.9
T3/2011,T3,2011,Nivell tecnològic alt,NALT,Productes farmacèutics,PF,855.2,826
T2/2011,T2,2011,Nivell tecnològic alt,NALT,Productes farmacèutics,PF,924.1,842.6
T1/2011,T1,2011,Nivell tecnològic alt,NALT,Productes farmacèutics,PF,896.9,880.4
T4/2010,T4,2010,Nivell tecnològic alt,NALT,Productes farmacèutics,PF,910.2,800.3
T3/2010,T3,2010,Nivell tecnològic alt,NALT,Productes farmacèutics,PF,840.1,786.9
T2/2010,T2,2010,Nivell tecnològic alt,NALT,Productes farmacèutics,PF,811,883.1
T1/2010,T1,2010,Nivell tecnològic alt,NALT,Productes farmacèutics,PF,790.3,863.9
T4/2009,T4,2009,Nivell tecnològic alt,NALT,Productes farmacèutics,PF,744.9,746.6
T3/2009,T3,2009,Nivell tecnològic alt,NALT,Productes farmacèutics,PF,704.5,756.8
